City,Country,Continent,Population,Male Percentage,Mean Income,Developed,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+,Grid Size
Lagos,Nigeria,Africa,13463421.0,51.8,242.27,Developing,0.2315068516,0.18744141309999998,0.2428030401,0.16350544050000002,0.09178288943,0.04663324777,0.02135346002,0.01497365752,3729
Algiers,Algeria,Africa,5400000.0,50.2,313.2,Developing,0.1711569661,0.166574334,0.1872570814,0.1715401664,0.13079007369999998,0.08239074011,0.048240282,0.042050356270000006,777
Cape Town,South Africa,Africa,4430367.0,48.9,1196.68,Developed,0.17639529780000002,0.1523989405,0.21020896649999998,0.1637116961,0.12477613789999999,0.08766890925000001,0.04945420166,0.035385850260000004,2462
Casablanca,Morocco,Africa,3683566.0,49.3,424.12,Developing,0.1623810366,0.14766051019999998,0.16965270489999998,0.1589973688,0.138846512,0.11582470060000001,0.063808702,0.04282846495,213
Abuja,Nigeria,Africa,2918518.0,52.1,562.5,Developing,0.2820907399,0.18533336079999999,0.2286602775,0.16319345429999998,0.08319496187999999,0.03374888621,0.01265005451,0.01112826483,1781
Accra,Ghana,Africa,2439389.0,48.1,2200.0,Developing,0.2150084875,0.1837133102,0.2183127562,0.1655929416,0.1023639506,0.062082499170000006,0.03292850215,0.01999755256,166
Johannesburg,South Africa,Africa,2026469.0,50.2,1312.03,Developed,0.1693836466,0.1336557511,0.2424489709,0.1916422426,0.11955891839999999,0.07767249493,0.03959343613,0.02604453929,1662
Marrakesh,Morocco,Africa,839296.0,48.9,556.0,Developing,0.17435080390000002,0.1603317666,0.1717207852,0.15188523310000002,0.1326249286,0.1094527198,0.05886516131,0.04076860142,202
Delhi,India,Asia,29399141.0,53.5,533.06,Developing,0.1679178967,0.1935506646,0.2043493671,0.1642214747,0.3665640879,0.07534569405000001,0.04660563206999999,0.02582124147,1474
Mumbai,India,Asia,19979955.0,54.0,777.03,Developing,0.1375386748,0.16557507529999999,0.21240174679999999,0.171876027,0.13243233,0.09067418207999998,0.05435837216,0.03514359191,459
Dhaka,Bangladesh,Asia,19578421.0,54.4,355.21,Developing,0.1749236984,0.1982561906,0.2570562863,0.1664657779,0.10214524650000001,0.054467556689999995,0.0292084583,0.01747678528,1144
Osaka,Japan,Asia,19281188.0,48.4,2289.71,Developed,0.07430234465,0.07974968962000001,0.1188543574,0.1416185015,0.1554544857,0.1182766774,0.1313914116,0.1803525322,289
Kolkata,India,Asia,14755186.0,52.4,382.73,Developing,0.11431389310000001,0.1581241595,0.18031743579999998,0.1711891792,0.1492138545,0.10855438460000001,0.06861940792,0.04966768541,1188
Istanbul,Turkey,Asia,14750771.0,50.1,457.86,Developed,0.15063611699999999,0.1441222109,0.1636969317,0.18578641850000002,0.1493488922,0.10440248070000001,0.06136747782000001,0.040639471170000004,0
Bangalore,India,Asia,11882666.0,52.0,760.03,Developing,0.152874948,0.1547474134,0.2359908662,0.1874944016,0.1181951494,0.07486207849,0.04745374408,0.028381398819999997,717
Chennai,India,Asia,10711243.0,50.3,473.0,Developing,0.1403376583,0.1535820863,0.1956785991,0.1771811861,0.139403574,0.09527293841,0.05897145547,0.03957250232,438
Bogota,Colombia,Asia,10574409.0,47.8,322.22,Developing,0.17548439559999998,0.17577848170000002,0.18618519739999997,0.1568743185,0.1362300348,0.08621986966,0.04779557392,0.03543212843,622
Jakarta,Indonesia,Asia,10516927.0,50.7,362.41,Developing,0.1672340108,0.1568955822,0.2243566382,0.1903144294,0.1312311032,0.07841097266,0.03522685623,0.01633040727,5693
Seoul,South Korea,Asia,9963497.0,49.0,2484.79,Developed,0.09950738916000001,0.1251231527,0.1842364532,0.1793103448,0.1645320197,0.1172413793,0.06995073892,0.06009852217,603
Hyderabad,India,Asia,9741397.0,51.1,460.33,Developing,0.1751279861,0.1864978184,0.2147528162,0.1698770677,0.1155581671,0.07112858176,0.04203944645,0.02501811622,610
Ahmedabad,India,Asia,7868633.0,52.7,376.38,Developing,0.1614371439,0.1816716554,0.1978354838,0.16248182619999998,0.127836252771461,0.08892437419,0.04920277338,0.030610490330000004,1188
Kuala Lumpur,Malaysia,Asia,7563912.0,50.9,1026.39,Developing,0.1517419355,0.1547833202,0.2252720692,0.16738127460000002,0.1342879622,0.09010794650000001,0.04790055075,0.02852494099,243
